"ANO_ELEICAO","NUM_TURNO","CODIGO_CARGO","NUMERO_CANDIDATO","QTDE_VOTOS"
"2018","1","1","12","13344289"
"2018","1","1","54","30175"
"2014","1","1","40","22176619"
"2014","1","1","13","43267668"
"2018","1","1","30","2679712"
"2018","1","1","45","5096330"
"2018","1","1","27","41709"
"2018","1","1","16","55762"
"2018","1","1","17","49276702"
"2018","1","1","96","7206217"
"2018","1","1","13","31341996"
"2018","1","1","50","617119"
"2014","1","1","21","47845"
"2014","1","1","50","1612186"
"2018","1","1","18","1069570"
"2014","1","1","45","34897211"
"2018","1","1","15","1288945"
"2014","1","1","27","61250"
"2014","1","1","20","780513"
"2018","1","1","51","1348322"
"2014","1","1","96","6678592"
"2014","1","1","29","12324"
"2018","1","1","95","3106933"
"2014","1","1","43","630099"
"2014","1","1","95","4420489"
"2018","1","1","19","859596"
"2014","1","1","16","91209"
"2014","1","1","28","446878"
"2014","2","1","13","54501118"
"2018","2","1","95","2486585"
"2018","2","1","17","57797477"
"2014","2","1","95","1921819"
"2014","2","1","96","5219787"
"2018","2","1","96","8608081"
"2014","2","1","45","51041155"
"2018","2","1","13","47040775"
