id_pesq,info_muni,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
SP-01316/2020,SANTOS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-05237/2020,GUARULHOS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01937/2020,CUBATAO,https://santaportal.com.br/noticia/63709-atual-prefeito-ademario-oliveira-lidera-a-segunda-pesquisa-para-prefeitura-de-cubatao,0,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01937/2020,CUBATAO,https://santaportal.com.br/noticia/63709-atual-prefeito-ademario-oliveira-lidera-a-segunda-pesquisa-para-prefeitura-de-cubatao,1,P,0,,,ADEMARIO OLIVEIRA,"18,5",DR PAIVA MAGALHAES,"4,2",WAGNER MOURA,"4,1",TONINHO VIEIRA,"3,8",DADA,"1,5",PEDRO DE SA,"1,4",BARAZAL,"1,3",,,,,,,,,,,,,,,,
SP-01937/2020,CUBATAO,https://santaportal.com.br/noticia/63709-atual-prefeito-ademario-oliveira-lidera-a-segunda-pesquisa-para-prefeitura-de-cubatao,1,P,1,,,ADEMARIO OLIVEIRA,"27,7",DR PAIVA MAGALHAES,"10,4",WAGNER MOURA,"9,6",TONINHO VIEIRA,"7,8",DADA,"4,2",PEDRO DE SA,"2,9",PAULA RAVANELLI,"2,3",PAULO ROSA,2,KADU,"1,3",FABIO MELO,"1,1",,,,,,,,,,
SP-08097/2020,PRAIA GRANDE,https://www.santaportal.com.br/noticia/63710-raquel-chini-lidera-a-pesquisa-santa-cecilia-tvbadra-para-a-prefeitura-de-praia-grande,1,P,0,,,ALBERTO MOURAO,"11,1",ALEXANDRE COMIN,6,RAQUEL CHINI,"5,5",ALEXANDRE CUNHA,"4,7",JANAINA BALLARIS,"3,1",DANILO MORGADO,"2,9",,,,,,,,,,,,,,,,,,
SP-08097/2020,PRAIA GRANDE,https://www.santaportal.com.br/noticia/63710-raquel-chini-lidera-a-pesquisa-santa-cecilia-tvbadra-para-a-prefeitura-de-praia-grande,1,P,1,,,RAQUEL CHINI,"17,3",ALEXANDRE COMIN,"16,5",ALEXANDRE CUNHA,"15,5",JANAINA BALLARIS,"10,3",DANILO MORGADO,"7,8",,,,,,,,,,,,,,,,,,,,
SP-07087/2020,ILHA COMPRIDA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-06002/2020,SAO PAULO,https://www.diariocidade.com/noticias/pesquisa-eleitoral/pesquisa-eleitoral-sao-paulo-setembro-2020/,1,P,1,,,BRUNO COVAS,16,GUILHERME BOULOS,12.4,CELSO RUSSOMANNO,"12,3",MARCIO FRANÇA,"11,5",MARTA SUPLICY,"4,2",JOICE HASSELMANN,"2,1",JILMAR TATTO,"2,1",ANDREA MATARAZZO,"2,1",ARTHUR DO VAL,"1,9",FELIPE SABARA,"1,1",,,,,,,,,,
SP-06657/2020,SÃO SEBASTIÃO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-04906/2020,PEDRANÓPOLIS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-04260/2020,MARAPOAMA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-07352/2020,VITÓRIA BRASIL,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-02407/2020,SÃO FRANCISCO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-09951/2020,ADOLFO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-06728/2020,PALMEIRA D'OESTE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-05642/2020,NOVA ALIANÇA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-00981/2020,PONTES GESTAL,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01154/2020,MARIÁPOLIS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-09072/2020,CAJOBI,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01197/2020,BÁLSAMO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01112/2020,SANTA ADÉLIA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-05495/2020,TURMALINA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-05065/2020,MAGDA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-08419/2020,PINDORAMA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
