tse_id,url,info_uf,info_muni,info_position,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,part1,part2,part3,part4,part5,part6,part7,part8,part9,part10,part11,part12,part13,part14,part15,id_pesq,NM_UE,cand16,resul16,cand17,resul17,cand18,resul18,total,year,scenario_id,for_patch
BA-00411/2020,https://politicalivre.com.br/2020/10/oziel-pegova-e-ivoneide-sao-os-mais-rejeitados-em-camacari-segundo-pa-politica-livre/#gsc.tab=0,NA,NA,NA,1,p,1,NA,NA,ELINALDO,"51,7",IVONEIDE CAETANO,22,OZIEL,"2,2",PEDRINHO DO PEDRAO,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAMAÇARI,NA,NA,NA,NA,NA,NA,349.2,2020,2083,TRUE
BA-06036/2020,http://www.politicosdosuldabahia.com.br/v1/2020/11/05/barro-preto-ana-paula-lidera-pesquisa-com-mais-de-51/,NA,NA,NA,1,p,1,NA,NA,ANA PAULA,53.62,JURACY SAUDE,45.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BARRO PRETO,NA,NA,NA,NA,NA,NA,98.69,2020,3573,TRUE
BA-08725/2020,https://www.otabuleiro.com.br/blog/coaraci-prefeito-jadson-lidera-nova-pesquisa,NA,NA,NA,1,p,1,NA,1,JADSON,46.84,JOSEFINA CASTRO,26.09,NINO,21.74,CARLOS MAI,3.36,CHICO BAIA,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COARACI,NA,NA,NA,NA,NA,NA,100.01,2020,1852,TRUE
ES-06488/2020,https://esemfoco.com/2020/10/23/pesquisa-mostra-fabricio-petri-disparado-em-anchieta/,NA,NA,NA,1,p,1,NA,NA,FABRICIO PETRI,51.3,MARQUINHOS ASSAD,18,GEOVANE,13.3,NICOLAU,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANCHIETA,NA,NA,NA,NA,NA,NA,99.4,2020,2716,TRUE
GO-03448/2020,http://serpes.com.br/pesquisa.aspx?ID=64,NA,NA,NA,1,p,1,NA,NA,ALLAN XAVIER,46.1,DR CARLOS,31.9,PLINIO PAIVA,"12,7",WILLIAN MACHADO,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRIXÁS,NA,NA,NA,NA,NA,NA,100.2,2020,3641,TRUE
GO-07373/2020,https://www.dm.jor.br/politica/2020/10/andre-chaves-do-mdb-lidera-em-buriti-alegre-com-515/,NA,NA,NA,1,p,1,NA,1,ANDRE CHAVES,51.5,JOAO ALFREDO,31,FELIX ALVES,12.6,GARIBALDO,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURITI ALEGRE,NA,NA,NA,NA,NA,NA,99.3,2020,2127,TRUE
MA-01366/2020,https://johncutrim.com.br/pesquisa-aponta-reeleicao-do-prefeito-janes-clei-em-formosa-da-serra-negra/,NA,NA,NA,1,p,1,NA,NA,JANES CLEI,56.67,CIRINEU,42.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FORMOSA DA SERRA NEGRA,NA,NA,NA,NA,NA,NA,98.84,2020,4575,TRUE
MA-04480/2020,http://reportertempo.com.br/duas-disputas-acirradas-um-imbroglio-judicial-e-uma-vitoria-certa-na-reta-final-nos-quatro-maiores-municipios/,NA,NA,NA,1,p,NA,NA,NA,ASSIS RAMOS,32,MARCO AURELIO,27,ILDON MARQUES,17,SEBASTIAO MADEIRA,11,DANIEL FLIM,4,MARIANA CARVALHO,3,DANIEL VIEIRA,2,PASTOR LAERCIO,1,MANOEL GARIMPEIRO,1,SANDRA RICARDO,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IMPERATRIZ,NA,NA,NA,NA,NA,NA,99,2020,4220,TRUE
MG-01024/2020,https://nucleolucianolepera.com.br/index.php/2020/11/11/candidata-do-pt-em-contagem-dispara-e-tem-667-em-pesquisa/,NA,NA,NA,1,p,1,NA,,MARILIA CAMPOS,66.7,DR WELLINGTON,8.6,IVAYR SOALHEIRO,7,FELIPE SALIBA,5.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CONTAGEM,NA,NA,NA,NA,NA,NA,88.28,2020,4249,TRUE
MG-01413/2020,https://www.hojeemdia.com.br/primeiro-plano/flavinha-lidera-pesquisa-eleitoral-em-esmeraldas-1.810925,NA,NA,NA,1,p,1,NA,,FLAVINHA,15.9,MARCELO NONATO,12.9,KIKO MARINHO,6.8,GUEDES MISTER,5.5,DR ERNESTO,3.9,JOAQUIM ARAGUAIA,3.2,DANIEL RADIO,2.9,JUNINHO ELIAS,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESMERALDAS,NA,NA,NA,NA,NA,NA,53.8,2020,3741,TRUE
MG-06358/2020,http://media.folha.uol.com.br/datafolha/2020/11/12/5467b92de5a3d348784h8f0197bc3ivbh11a.pdf,NA,NA,NA,1,p,0,NA,NA,KALIL,55,AUREA CAROLINA,5,JOAO VITOR XAVIER,5,BRUNO ENGLER,3,NILMARIO MIRANDA,1,RODRIGO PAIVA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BELO HORIZONTE,NA,NA,NA,NA,NA,NA,170,2020,4430,TRUE
MG-09207/2020,https://www.gazetadacidade.com/destaque-principal/divulgada-a-primeira-pesquisa-da-regiao-para-candidatos-a-prefeito/,NA,NA,NA,1,p,1,NA,1,EDMILSON,74.59,DELMO,25.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOM REPOUSO,NA,NA,NA,NA,NA,NA,100,2020,1932,TRUE
MS-04349/2020,https://www.jpnews.com.br/paranaiba/pesquisa-mostra-tita-vencendo-as-eleicoes-para-prefeito-de-p/143581/,NA,NA,NA,1,p,1,NA,1,TITA,41.3,MAYCOL,23.9,SINDOLEY,13.8,BINGA,12.5,FREDSON,6.9,RENATO,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PARANAÍBA,NA,NA,NA,NA,NA,NA,100,2020,3206,TRUE
MT-03315/2020,https://www.expressomt.com.br/noticia/voice-pesquisas-em-lucas-miguel-vaz-lidera-com-48-dos-votos-validos-binotti-tem-42/2092373,NA,NA,NA,1,p,1,NA,,MIGUEL VAZ,38,LUIZ BINOTTI,34,MANO SAUDE,5,CLAUDIO SENNA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LUCAS DO RIO VERDE,NA,NA,NA,NA,NA,NA,80,2020,2640,TRUE
MT-04690/2020,https://www.popularonline.com.br/artigo/mt-dados-pesquisa-aponta-jamis-silva-em-1-lugar-com-60-93-dos-votos-validos-1,NA,NA,NA,1,p,NA,NA,,JAMIS SILVA,46.7,ROBERTO,15.8,REGINA SABIONI,14.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO JOSÉ DOS QUATRO MARCOS,NA,NA,NA,NA,NA,NA,76.65,2020,4291,TRUE
MT-06855/2020,https://www.olharjuridico.com.br/noticias/exibir.asp?id=44550&edicao=1,NA,NA,NA,1,p,NA,NA,1,KALIL,54.24,FLAVIO FRICAL,27.12,EMANUELZINHO,16.95,MILTAO,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VÁRZEA GRANDE,NA,NA,NA,NA,NA,NA,100,2020,2220,TRUE
PE-00134/2020,https://blogpontodevista.com/pesquisa-em-pedra-junior-vaz-lidera-com-5912/,NA,NA,NA,1,p,NA,NA,NA,JUNIOR VAZ,59.12,OSORIO FILHO,39.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRA,NA,NA,NA,NA,NA,NA,98.96,2020,1627,TRUE
PI-00850/2020,https://www.meionorte.com/politica/eleicoes/instituto-amostragem-divulga-pesquisa-para-prefeito-de-sao-pedro-do-pi-400453,NA,NA,NA,1,p,1,NA,NA,JUNIOR BILL,60,NADIA ALENCAR,"23,67",DRA ROSANGELA,"4,67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PEDRO DO PIAUÍ,NA,NA,NA,NA,NA,NA,99.99,2020,4445,TRUE
PI-01445/2020,https://censuspesquisas.com.br/pesquisas/census-prefeito-netinho-continua-liderando-disputa-para-a-prefeitura-de-assuncao-do-piaui/,NA,NA,NA,1,p,1,NA,NA,NETINHO,58.14,JACKSON,40.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSUNÇÃO DO PIAUÍ,NA,NA,NA,NA,NA,NA,98.84,2020,3023,TRUE
PI-03465/2020,https://www.portalbocadopovo.com/2020/11/eleicoes-2020_53.html,NA,NA,NA,1,p,1,NA,1,NONATINHO SINDICATO,62.43,DR CRISTIANO,31.41,GILSON SERRARIA,6.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COCAL,NA,NA,NA,NA,NA,NA,100.01,2020,4440,TRUE
PR-03051/2020,https://npdiario.com/capa/pesquisa-aponta-reeleicao-de-hiroshi-kubo-e-doutora-ana-em-carlopolis/,NA,NA,NA,1,p,1,NA,1,HIROSHI KUBO,82.53,MARCOS ANTONIO,17.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARLÓPOLIS,NA,NA,NA,NA,NA,NA,100,2020,2277,TRUE
PR-05651/2020,https://www.bandab.com.br/politica/marli-paulino-lidera-corrida-para-prefeitura-de-pinhais-com-61-aponta-pesquisa/,NA,NA,NA,1,p,1,NA,NA,MARLI PAULINO,42,DR MARCOS CHESCHIN,22,INVESTIGADOR DOUTOR VLADIMIR,3,VINICIUS CRUZ,1,PROFESSOR RAFAEL,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PINHAIS,NA,NA,NA,NA,NA,NA,100,2020,4451,TRUE
PR-06840/2020,https://www.portalaltopiquiri.com.br/noticia/2089/pesquisa-eleitoral-em-alto-piquiri-aponta-giovane-com-48-2-da-intencao-dos-votos,NA,NA,NA,1,p,1,NA,,GIOVANE,48.2,ABRAO ILARIO,33.9,DONIZETE MIQUELONI,6.4,PROF MOROTTI PT,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALTO PIQUIRI,NA,NA,NA,NA,NA,NA,92.6,2020,4447,TRUE
PR-08499/2020,https://lucianapombo.com.br/noticia/17361/karime-fayad-podera-ser-prefeita-de-rio-branco-do-sul,NA,NA,NA,1,p,NA,NA,1,KARIME FAYAD,60,NECO GEFFER,28,ORLEI PARODI,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RIO BRANCO DO SUL,NA,NA,NA,NA,NA,NA,100,2020,4459,TRUE
RJ-00764/2020,https://plantaoenfoco.com.br/politica/renato-cozzolino-lidera-preferencia-do-eleitor-em-mage/,NA,NA,NA,1,p,1,NA,1,RENATO COZZOLINO,33,RICARDO KAROL,19,ROGERIO VALLE,19,BONECO,12,SARGENTO LOPES,11,JANE REIS,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MAGÉ,NA,NA,NA,NA,NA,NA,100,2020,4471,TRUE
RN-09935/2020,https://www.potiguarnoticias.com.br/noticias/47026/rafael-fernandes-prefeito-bruno-anastasio-lidera-com-folga-aponta-pesquisa,NA,NA,NA,1,p,1,NA,NA,BRUNO ANASTACIO,61,SIGMA OLIVIERA,"37,75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RAFAEL FERNANDES,NA,NA,NA,NA,NA,NA,128.75,2020,4376,TRUE
RO-02110/2020,https://www.rondoniaovivo.com/imagensNoticias/documentos/PESQUISAELEITORAL.pdf,NA,NA,NA,1,p,1,NA,NA,HILDON CHAVES,22.4,CHRISTIANE LOPES,17.6,BRENO MENDES,15.5,VINICIUS MIGUEL,8.4,LINDOMAR GARCON,7,EDVALDO SOARES,6,SAMUEL COSTA,4.8,CORONEL RONALDO FLORES,4.5,RAMON CUJUI,3.8,PIMENTEL,2.8,PIMENTA RONDONIA,2.4,LEONEL BERTOLIN,1.9,EYDER BRASIL,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PORTO VELHO,NA,NA,NA,NA,NA,NA,98.6,2020,3301,TRUE
RO-05355/2020,"http://www.oobservador.com.br/noticias/rosani-donadon-lidera-em-vilhena,49895.shtml",NA,NA,NA,1,p,NA,NA,1,ROSANI DONADON,36.1,EDUARDO JAPONES,28.1,CORONEL RILDO,17.3,MIGUEL CAMARA,11.8,PAULINHO ARGAMAZON,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VILHENA,NA,NA,NA,NA,NA,NA,100,2020,3948,TRUE
RS-05955/2020,https://www.portalarauto.com.br/Pages/185755/duas-pesquisas-duas-liderancas-eduardo-viana-e-rosane-petry,NA,NA,NA,1,p,1,NA,NA,VIANA,36.5,ROSANE PETRY,28.8,GILSON BECKER,18.7,JERONIMO SILVA,"1,7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VERA CRUZ,NA,NA,NA,NA,NA,NA,102.7,2020,3315,TRUE
SP-04572/2020,https://jornalarua.com/wp-content/uploads/2020/11/ARUA2152.pdf,NA,NA,NA,1,p,NA,NA,NA,ROGERIO LINS,66,DR LINDOSO,15.3,EMIDIO SOUZA,13.7,SIMONY ANJOS,1.9,DR GASPAR,1.5,MARCO SOUZA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OSASCO,NA,NA,NA,NA,NA,NA,99.4,2020,4770,TRUE
SP-05878/2020,https://www.abcdoabc.com.br/sao-caetano/noticia/vox-populi-auricchio-amplia-vantagem-chega-67-sao-caetano-111730,NA,NA,NA,1,p,1,NA,NA,JOSE JUNIOR,67,FABIO PALACIO,19,THIAGO TORTORELLO,4,JOAO MORAES,3,MARIO BOHM,3,HORACIO NETO,2,EDUARDO CASONATO,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO CAETANO DO SUL,NA,NA,NA,NA,NA,NA,99,2020,4305,TRUE
TO-04182/2020,https://portalbenicio.com.br/2020/11/05/em-paraiso-celso-moraes-chega-a-70-das-intencoes-de-voto/,NA,NA,NA,1,p,1,NA,1,CELSO MORAES,70,ATAIDE RODRIGUES,24,LUIZ ANTONIO,4,DIEGO PEREIRA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PARAÍSO DO TOCANTINS,NA,NA,NA,NA,NA,NA,100,2020,4061,TRUE
TO-04435/2020,https://diariotocantinense.com.br/noticias/politica/127,NA,NA,NA,1,p,1,NA,1,BARRACHINI,60.18,MARCIO BEZERRA,39.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTA MARIA DO TOCANTINS,NA,NA,NA,NA,NA,NA,100,2020,4047,TRUE
TO-04533/2020,https://surgiu.com.br/2020/10/21/pesquisa-iabr-mostra-isaias-piagem-com-ampla-vantagem-em-marianopolis/,NA,NA,NA,1,p,1,NA,NA,ISAIAS PIAGEM,71,VANI,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARIANÓPOLIS DO TOCANTINS,NA,NA,NA,NA,NA,NA,99,2020,2870,TRUE
