conre,cnpj
7,"03.079.221/0001-95"
7,"08.984.712/0001-02"
7,"01.864.538/0001-07"
7,"11.565.915/0001-60"
7,"22.770.978/0001-75"
7,"09.635.819/0001-08"
7,"15.625.058/0001-06"
6,"11.097.313/0001-26"
6,"32.216.591/0001-25"
6,"10.327.675/0001-01"
6,"28.500.023/0001-84"
6,"04.603.737/0001-50"
6,"23.697.243/0001-26"
6,"27.292.925/0001-00"
6,"04.960.987/0001-47"
6,"09.060.274/0001-40"
6,"09.376.087/0001-70"
6,"05.633.719/0001-83"
6,"81.908.345/0001-40"
6,"10.962.375/0001-96"
6,"10.962.375/0002-77"
6,"42.196.550/0001-10"
6,"42.196.550/0014-92"
6,"19.090.489/0001-68"
6,"03.830.371/0001-99"
6,"22.267.969/0001-66"
6,"19.615.966/0001-61"
6,"05.389.817/0001-17"
6,"24.089.028/0001-05"
6,"19.738.088/0001-71"
6,"34.351.657/0001-15"
6,"22.445.600/0001-04"
6,"11.112.423/0001-10"
6,"03.950.991/0001-61"
6,"11.047.803/0001-18"
6,"09.283.689/0001-83"
6,"36.231.721/0001-50"
4,"24.475.557/0001-47"
4,"09.610.985/0001-41"
4,"20.018.384/0001-87"
4,"09.439.784/0001-23"
4,"93.807.485/0001-00"
4,"07.318.001/0001-28"
4,"06.195.852/0001-68"
4,"29.438.634/0001-02"
4,"19.074.650/0001-00"
4,"26.194.024/0001-12"
4,"08.255.393/0001-96"
4,"20.450.146/0001-46"
4,"36.602.206/0001-39"
4,"10.735.713/0001-57"
4,"35.374.772/0001-78"
4,"84.782.101/0001-51"
4,"28.780.441/0001-72"
4,"09.328.809/0001-11"
4,"00.853.528/0001-03"
4,"81.908.345/0001-40"
4,"10.175.063/0001-32"
4,"42.196.550/0011-40"
4,"01.886.397/0001-23"
4,"00.189.806/0001-70"
4,"01.768.747/0001-57"
4,"05.389.817/0001-17"
4,"30.593.823/0001-39"
4,"00.481.961/0001-65"
4,"00.481.961/0001-65"
4,"04.914.964/0001-04"
4,"89.137.574/0001-10"
4,"16.950.128/0001-56"
4,"92.973.734/0001-75"
4,"02.603.313/0001-60"
4,"94.437.969/0001-28"
4,"20.426.351-0001/76"
4,"24.561.241/0001-78"
4,"29.032.693/0001-86"
4,"17.988.811/0001-45"
4,"19.791.315/0001-37"
4,"09.249.695/0001-14"
4,"07.331.137/0001-41"
4,"03.566.875/0001-43"
4,"34.133.477/0001-67"
3,"04.339.846/0001-01"
3,"24.475.557/0001-47"
3,"09.027.925/0001-09"
3,"13.320.517/0001-00"
3,"09.388.850/0001-83"
3,"34.972.238/0001-09"
3,"09.334.545/0001-09"
3,"32.703.949/0001-44"
3,"04.209.958/0001-48"
3,"28.484.428/0001-76"
3,"12.078.030/0001-08"
3,"05.412.667/0001-15"
3,"23.340.485/0001-68"
3,"07.630.546/0001-75"
3,"05.371.865/0001-88"
3,"01.187.019/0001-51"
3,"07.898.610/0001-01"
3,"62.292.602/0001-17"
3,"02.195.435/0001-64"
3,"17.658.737/0001-07"
3,"04.859.573/0001-26"
3,"07.188.687/0001-80"
3,"60.555.513/0001-90"
3,"03.016.943/0001-09"
3,"23.688.560/0001-86"
3,"08.036.698/0001-07"
3,"20.125.700/0001-10"
3,"68.802.370/0001-86"
3,"11.371.137/0001-79"
3,"12.312.607/0001-96"
3,"58.625.922/0001-74"
3,"81.908.345/0001-40"
3,"18.372.420/0001-64"
3,"11.399.188/0001-09"
3,"05.389.029/0001-20"
3,"73.200.396/0001-94"
3,"04.868.131/0001-46"
3,"33.624.854/0001-06"
3,"59.392.522/0001-29"
3,"11.050.847/0001-05"
3,"73.988.917/0001-10"
3,"21.300.499/0001-22"
3,"08.690.626/0001-89"
3,"13.098.271/0001-73"
3,"07.717.171/0001-85"
3,"08.488.158/0001-64"
3,"17.271.604/0001-75"
3,"22.833.554/0001-02"
3,"30.040.114/0001-26"
3,"17.579.067/0001-25"
3,"57.274.383/0001-03"
3,"20.015.401/0001-22"
3,"11.047.803/0001-18"
3,"02.992.033/0001-90"
3,"04.116.046/0001-21"
3,"07.587.191/0001-89"
3,"19.697.832/0001-37"
3,"10.448.583/0001-71"
2,10760183000105
2,16832830000115
2,39253182000148
2,11077560000160
2,58625922000174
2,81908345000140
2,11007468000124
2,68802370000186
2,20815824000127
2,03480760000131
2,10683261000107
5,10956929000142
5,10595124000110
5,02943355000140
5,04583866000123
5,13273587000154
5,05949626000162
5,81908345000140
5,68802370000186
5,09170122000109
5,09546952000180
5,09045102000106
5,10575983000148
5,13807655000118
5,11849437000110
5,00377711000180
5,04843093000177
5,40808743000107
5,17159578000198
5,04959873000187
13,"09.242.998/0001-05"
13,"00.081.933/0001-50"
13,"03.490.620/0001-44"
13,"04.362.689/0001-55"
13,"70.363.106/0001-35"
13,"03.973.340/0001-97"
13,"03.011.668/0001-22"
13,"36.781.946/0001-80"
13,"02.943.355/0001-40"
13,"05.023.065/0001-76"
13,"03.683.644/0001-10"
13,"06.270.812/0001-33"
